MAL_ID,Name,Score,Genres,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1
5632,Nihonichi Momotarou,5.41,Fantasy,Momotaro the Undefeated,日本一桃太郎,Movie,1,1928,Unknown,Unknown,Unknown,Unknown,Original,11 min.,G - All Ages,9911,10031,1214,0,15,982,3,41,173,13,13,32,113,145,176,75,55,39,20
5811,Nezumi no Rusuban,4.57,Action,Home Alone Mice,鼠の留守番,Movie,1,1931,Unknown,Unknown,Unknown,Unknown,Original,1 min.,G - All Ages,10907,10602,939,0,12,799,4,41,83,6,4,16,39,62,151,99,62,69,50
5812,Doubutsu Sumo Taikai,4.73,Action,Animal Sumo,動物相撲大会,Movie,1,1931,Unknown,Unknown,Unknown,Unknown,Original,52 sec.,G - All Ages,10814,10499,982,0,13,833,4,39,93,6,7,10,53,79,159,72,65,65,43
5813,Urashima Tarou (1931),4.59,Action,Taro Urashima,浦島太郎,Movie,1,1931,Unknown,Unknown,Unknown,Unknown,Other,1 min.,G - All Ages,10891,9306,1659,1,11,1445,6,44,153,19,11,21,63,123,295,167,109,112,76
5814,Dankichi-jima no Olympic Taikai,4.38,"Action, Sports",Olympic Games on Dankichi Island,ダン吉島のオリムピック大会,Movie,1,1932,Unknown,Unknown,Unknown,Unknown,Original,2 min.,G - All Ages,10947,10275,1083,0,11,910,5,51,106,9,6,6,39,67,148,126,94,85,63
5838,Furudera no Obake-soudou,5.16,"Action, Adventure",Taro's Monster Hunt,古寺のおばけ騒動,Movie,1,1936,Unknown,Unknown,Unknown,Unknown,Original,5 min.,G - All Ages,10393,10783,861,0,15,691,5,36,114,11,12,7,59,90,133,53,58,32,27
5868,Haru no Uta,4.66,Music,Spring Song,春の唄,Movie,1,1931,Unknown,Unknown,Unknown,Unknown,Original,3 min.,G - All Ages,10872,10102,1176,1,14,1005,6,33,118,11,8,12,49,95,176,124,78,72,50
5869,Chou no Sainan,5.38,Action,The Unlucky Butterfly,蝶のさいなん,Movie,1,1931,Unknown,Unknown,Unknown,Unknown,Original,8 min.,G - All Ages,9947,10418,1014,0,12,833,3,44,122,11,9,28,81,141,154,68,53,29,20
5872,Doubutsu Mura no Sports Day,5.08,Action,Sports Day at Animal Village,動物村のスポーツデー,Movie,1,1932,Unknown,Unknown,Unknown,Unknown,Original,8 min.,G - All Ages,10518,10917,819,2,12,674,3,37,93,11,7,17,54,93,125,65,47,31,32
5874,Sankou to Tako: Hyakumanryou Chinsoudou,5.25,Action,Sanko and the Octopus:A Fight Over a Fortune,三公と蛸～百万両珍騒動～,Movie,1,1933,Unknown,Unknown,Unknown,Unknown,Original,15 min.,G - All Ages,10211,11687,595,0,9,462,4,35,85,5,6,7,34,60,94,48,27,17,17
5880,Oshiruko,5.14,Comedy,Red Bean Soup,おしるこ,ONA,1,2005,Unknown,Space Neko Company,Unknown,Unknown,Original,1 min.,G - All Ages,10408,10437,1005,0,9,808,5,22,161,6,4,23,58,134,203,67,52,35,26
6094,A Piece of Phantasmagoria,6.22,"Fantasy, Kids",Unknown,a piece of PHANTASMAGORIA (ア・ピース・オブ ファンタスマゴリア),OVA,15,1995,Unknown,Tamura Shigeru Studio,Unknown,Unknown,Unknown,5 min. per ep.,G - All Ages,7247,7331,3666,22,124,1413,88,132,1909,73,60,133,207,245,190,94,45,23,21
6154,Saint Seiya: Meiou Hades Juuni Kyuu-hen - Yomigaerishi Gold Saint-tachi no Shinwa,7.69,"Adventure, Sci-Fi, Shounen",Unknown,冥王ハーデス十二宮編　よみがえりし黄金聖闘士たちの神話,Special,2,2003,Unknown,Unknown,Unknown,Toei Animation,Unknown,54 min. per ep.,PG-13 - Teens 13 or older,1045,5185,8664,21,188,6206,110,148,2012,740,600,1057,937,423,181,56,17,10,21
6198,Detective Conan OVA 08: High School Girl Detective Sonoko Suzuki's Case Files,7.21,"Police, Comedy, Mystery, Shounen",Unknown,名探偵コナン 女子高生探偵　鈴木園子の事件簿,OVA,1,2008,Unknown,Tokyo Movie Shinsha,Unknown,TMS Entertainment,Manga,25 min.,PG-13 - Teens 13 or older,2734,4774,10767,6,104,8666,107,102,1788,546,519,1079,1696,876,403,113,50,16,17
6413,Go! Go! Ackman,6.18,"Action, Comedy, Demons, Supernatural",Unknown,GO! GO! ACKMAN,OVA,1,1994,Unknown,Shueisha,Unknown,Toei Animation,Manga,15 min.,PG-13 - Teens 13 or older,7459,9479,1552,3,40,1054,16,42,400,38,27,73,191,213,144,57,31,10,9
6418,Eyeshield 21: Jump Festa 2005 Special,6.77,"Action, Comedy, Shounen, Sports",Unknown,アイシールド21ジャンプフェスタ 2005,Special,1,2005,Unknown,Unknown,Unknown,Gallop,Manga,11 min.,PG-13 - Teens 13 or older,4590,6088,5831,8,104,3946,80,100,1601,205,188,359,698,529,305,64,40,23,18
6431,Chameko no Ichinichi,4.9,Comedy,Unknown,茶目子の一日,Movie,1,1931,Unknown,Unknown,Unknown,Unknown,Original,6 min.,G - All Ages,10686,10872,833,0,13,664,5,42,109,7,4,11,46,84,115,65,45,41,30
6535,Ai,4.26,"Dementia, Psychological, Romance",Love,愛,Movie,1,1963,Unknown,Kuri Jikken Manga Kobo,Unknown,Unknown,Original,4 min.,PG-13 - Teens 13 or older,10980,7552,3341,6,23,2673,15,77,553,32,26,82,172,275,327,261,229,278,313
6553,Junjou Romantica Special,7.48,"Comedy, Romance, Shounen Ai",Unknown,純情ロマンチカ,Special,1,2008,Unknown,Kadokawa Shoten,Unknown,Studio Deen,Manga,16 min.,PG-13 - Teens 13 or older,1637,3039,28887,108,398,22764,188,234,5303,2484,1941,2453,3017,1818,941,278,135,101,106
6591,Rurouni Kenshin DVD-BOX Special Ending,7.75,"Historical, Romance",Samurai X DVD-BOX Special Ending,るろうに剣心,Special,1,2007,Unknown,"Aniplex, SME Visual Works, Fuji TV",Unknown,Unknown,Manga,2 min.,G - All Ages,913,4101,15537,73,381,9835,219,175,4927,1210,1005,1524,1472,672,303,74,41,20,25
6667,Love to Live By,5.6,Music,Unknown,m-flo♥Chara / Love to Live By,Music,1,2007,Unknown,Avex Entertainment,Unknown,Studio 4°C,Unknown,4 min.,PG-13 - Teens 13 or older,9411,9903,1280,0,13,1025,7,32,203,24,18,45,129,174,178,86,31,29,29
6680,Doujouji,6,"Supernatural, Historical",Dojoji Temple,道成寺,Movie,1,1976,Unknown,Kadokawa Pictures Japan,Unknown,Unknown,Original,18 min.,PG-13 - Teens 13 or older,8223,9661,1445,3,26,889,10,49,471,26,20,64,147,151,120,46,28,16,23
6797,Docchi ni Suru?,5.55,"Comedy, Kids",Your Choice!,どっちにする？,Movie,1,1999,Unknown,"Dentsu, Yamamura Animation, Inc.",Unknown,Unknown,Unknown,10 min.,G - All Ages,9547,11367,678,0,11,489,11,29,138,7,9,12,51,86,100,39,22,15,8
6827,Suzume no Oyado,5.35,Fantasy,The Sparrows' Lodge,雀のお宿,Movie,1,1936,Unknown,Unknown,Unknown,Unknown,Unknown,10 min.,G - All Ages,10053,11639,612,0,10,472,1,37,92,8,4,16,30,79,85,32,30,22,10
6828,Ohi-sama to Kaeru,4.35,Comedy,The Sun and the Frogs,お日様と蛙,Movie,1,1936,Unknown,Unknown,Unknown,Unknown,Original,1 min.,G - All Ages,10946,11567,627,0,9,513,3,36,66,4,2,9,15,27,75,65,59,47,46
6830,Hinomaru Hatanosuke: Inazuma-gumi Tobatsu no Maki,4.75,"Action, Historical, Samurai",Hatanosuke Takes Down the Inazuma Gang,日の丸旗之助～稲妻組討伐の巻～,Movie,1,1935,Unknown,Unknown,Unknown,Unknown,Original,1 min.,G - All Ages,10784,11105,758,0,10,625,2,35,86,7,4,12,27,59,121,65,47,41,37
6831,Hinomaru Hatanosuke: Bakemonoyashiki no Maki,4.86,Supernatural,Hatanosuke and the Haunted House,日の丸旗之助～化物屋敷の巻～,Movie,1,1935,Unknown,Unknown,Unknown,Unknown,Original,1 min.,G - All Ages,10724,10631,927,1,14,681,8,41,183,7,4,17,42,70,122,80,46,41,35
6832,Shoujouji no Tanuki-bayashi Ban Danemon,5.16,Supernatural,Danemon's Monster Hunt at Shojoji,證城寺の狸囃子 塙団右衛門,Movie,1,1935,Unknown,Unknown,Unknown,Unknown,Original,9 min.,G - All Ages,10397,10212,1114,0,18,867,7,42,180,14,8,20,67,121,177,84,55,35,29
6838,Dekobou no Jidousha Ryokou,4.16,"Adventure, Cars",Dekobo the Big Head's Road Trip,凸坊の自動車旅行,Movie,1,1934,Unknown,Unknown,VIZ Media,Unknown,Original,1 min.,G - All Ages,11002,10210,1117,1,10,934,5,50,118,14,5,9,29,49,143,123,110,79,98
6839,Hinomaru Tarou: Musha Shugyou no Maki,4.87,"Action, Samurai",Taro's Early Training Days,日の丸太郎～武者修行の巻～,Movie,1,1936,Unknown,Unknown,Unknown,Unknown,Original,5 min.,G - All Ages,10697,11336,689,0,13,533,4,39,100,7,3,11,24,54,111,62,35,29,33
6840,Maabou no Daikyousou,4.64,"Comedy, Sports",Mabo's Big Race,マー坊の大競争,Movie,1,1936,Unknown,Unknown,Unknown,Unknown,Original,1 min.,G - All Ages,10885,10816,853,0,11,681,6,43,112,13,3,5,30,65,117,89,66,36,37
6842,Oyoge ya Oyoge,5.08,Sports,"Swim, Monkey, Swim!",泳げや泳げ,Movie,1,1939,Unknown,Unknown,Unknown,Unknown,Original,10 min.,G - All Ages,10518,11677,600,1,9,470,2,37,82,5,2,13,29,48,105,54,23,33,20
6844,Osaru no Sankichi: Boukuusen,4.49,Military,Sankichi the Monkey:The Air Combat,お猿の三吉～防空戦～,Movie,1,1942,Unknown,Unknown,Unknown,Unknown,Original,3 min.,G - All Ages,10907,10738,877,0,11,721,5,39,101,5,4,8,36,53,123,94,71,54,51
6846,Kuma ni Kuwarenu Otoko,5.16,"Adventure, Music",The Bear Dodger,熊に喰われぬ男,Movie,1,1948,Unknown,Unknown,Unknown,Unknown,Original,9 min.,G - All Ages,10397,11753,585,0,10,445,4,36,90,6,8,11,21,44,98,47,32,21,17
6847,Gulliver Funtouki,5.21,Adventure,Gulliver's Great Activities,ガリヴァー奮闘記,Movie,1,1950,Unknown,Unknown,Unknown,Unknown,Book,9 min.,G - All Ages,10306,11635,609,1,12,485,1,34,77,4,3,7,42,72,99,48,30,19,14
6848,Doubutsu Mura no Daisodou,5.13,Action,The Animal Village in Trouble,動物村の大騒動,Movie,1,1942,Unknown,Unknown,Unknown,Unknown,Original,8 min.,G - All Ages,10449,11566,627,0,9,487,4,36,91,4,3,9,31,70,101,40,37,18,26
6849,Bouken Dankichi: Hyouryuu no Maki,4.61,Adventure,Dankichi on a Tropical Island,冒険ダン吉～漂流の巻～,Movie,1,1934,Unknown,Unknown,Unknown,Unknown,Original,1 min.,G - All Ages,10899,10949,807,0,7,664,3,43,90,5,4,7,32,47,109,87,45,72,52
6850,Norakuro Shoui: Nichiyoubi no Kaijiken,4.87,"Action, Military",2nd Lieutenant Norakuro:Sunday Magic,のらくろ少尉～日曜日の怪事件～,Movie,1,1933,Unknown,Unknown,Unknown,Unknown,Manga,1 min.,G - All Ages,10686,11074,761,1,8,585,8,40,120,5,6,13,29,49,107,71,48,36,26
6851,Kaitei no Boukun,4.52,Adventure,The Underwater Tyrant,海底の暴君,Movie,1,1933,Unknown,Unknown,Unknown,Unknown,Original,1 min.,G - All Ages,10924,11018,786,1,8,658,2,38,80,5,7,4,21,52,114,91,52,50,48
6852,Ahiru no Otegara,5.06,Adventure,The Duckling Saves the Day,アヒルのお手柄,Movie,1,1931,Unknown,Unknown,Unknown,Unknown,Original,1 min.,G - All Ages,10537,9701,1416,2,12,1175,8,59,162,20,7,29,85,158,254,101,85,54,43
6855,Da Nao Tiangong,6.59,Adventure,Uproar in Heaven,大鬧天宮,Movie,1,1964,Unknown,Unknown,Unknown,Shanghai Animation Film Studio,Novel,1 hr. 54 min.,G - All Ages,5442,11089,765,3,29,399,14,49,274,31,21,52,70,61,30,16,6,4,9
6907,Mikan-Seijin,5.84,Comedy,Extraterrestrial Oranges,ミカンせいじん,TV,26,1992,Unknown,Unknown,Unknown,Unknown,Unknown,22 sec. per ep.,G - All Ages,8717,12330,460,3,17,184,15,55,189,20,3,13,16,14,22,13,4,21,21
6935,Enkinhou no Hako: Hakase no Sagashimono,5.23,Slice of Life,The Researcher's Search - Perspectivenbox,遠近法の箱-博士のさがしもの,Special,1,1990,Unknown,"Yamamura Animation, Inc.",Unknown,Unknown,Unknown,4 min.,G - All Ages,10273,10267,1090,2,12,816,6,31,225,12,7,30,63,113,152,87,58,30,22
6950,Aos,3.69,"Fantasy, Dementia",Unknown,アオス,Movie,1,1964,Unknown,Kuri Jikken Manga Kobo,Unknown,Unknown,Original,9 min.,R+ - Mild Nudity,11000,8820,1998,1,13,1599,14,57,315,19,14,14,62,108,134,172,151,205,278
6953,Ningen Doubutsuen,2.77,Dementia,Clap Vocalism,人間動物園,Movie,1,1962,Unknown,Kuri Jikken Manga Kobo,Unknown,Unknown,Original,2 min.,PG-13 - Teens 13 or older,11046,7645,3213,1,23,2818,18,49,305,46,4,25,44,90,185,191,239,409,952
7020,Fashion,4.41,"Comedy, Dementia",Unknown,ファッション,Movie,1,1960,Unknown,Unknown,Unknown,Unknown,Original,4 min.,G - All Ages,10931,11385,672,2,9,487,7,40,129,6,5,4,19,30,50,67,53,45,56
