AnimeId,Name,Genres,Type,Episodes,Score,Members,Studios,Aired
6418,Eyeshield 21: Jump Festa 2005 Special,"Action, Comedy, Shounen, Sports",Special,1,6.77,5831,Gallop,2005
6431,Chameko no Ichinichi,Comedy,Movie,1,4.9,833,Unknown,1931
6535,Ai,"Dementia, Psychological, Romance",Movie,1,4.26,3341,Unknown,1963
6553,Junjou Romantica Special,"Comedy, Romance, Shounen Ai",Special,1,7.48,28887,Studio Deen,2008
6591,Rurouni Kenshin DVD-BOX Special Ending,"Historical, Romance",Special,1,7.75,15537,Unknown,2007
6667,Love to Live By,Music,Music,1,5.6,1280,Studio 4°C,2007
6680,Doujouji,"Supernatural, Historical",Movie,1,6.0,1445,Unknown,1976
6797,Docchi ni Suru?,"Comedy, Kids",Movie,1,5.55,678,Unknown,1999
6827,Suzume no Oyado,Fantasy,Movie,1,5.35,612,Unknown,1936
6828,Ohi-sama to Kaeru,Comedy,Movie,1,4.35,627,Unknown,1936
6830,Hinomaru Hatanosuke: Inazuma-gumi Tobatsu no Maki,"Action, Historical, Samurai",Movie,1,4.75,758,Unknown,1935
6831,Hinomaru Hatanosuke: Bakemonoyashiki no Maki,Supernatural,Movie,1,4.86,927,Unknown,1935
6832,Shoujouji no Tanuki-bayashi Ban Danemon,Supernatural,Movie,1,5.16,1114,Unknown,1935
6838,Dekobou no Jidousha Ryokou,"Adventure, Cars",Movie,1,4.16,1117,Unknown,1934
6839,Hinomaru Tarou: Musha Shugyou no Maki,"Action, Samurai",Movie,1,4.87,689,Unknown,1936
6840,Maabou no Daikyousou,"Comedy, Sports",Movie,1,4.64,853,Unknown,1936
6842,Oyoge ya Oyoge,Sports,Movie,1,5.08,600,Unknown,1939
6844,Osaru no Sankichi: Boukuusen,Military,Movie,1,4.49,877,Unknown,1942
6846,Kuma ni Kuwarenu Otoko,"Adventure, Music",Movie,1,5.16,585,Unknown,1948
6847,Gulliver Funtouki,Adventure,Movie,1,5.21,609,Unknown,1950
6848,Doubutsu Mura no Daisodou,Action,Movie,1,5.13,627,Unknown,1942
6849,Bouken Dankichi: Hyouryuu no Maki,Adventure,Movie,1,4.61,807,Unknown,1934
6850,Norakuro Shoui: Nichiyoubi no Kaijiken,"Action, Military",Movie,1,4.87,761,Unknown,1933
6851,Kaitei no Boukun,Adventure,Movie,1,4.52,786,Unknown,1933
6852,Ahiru no Otegara,Adventure,Movie,1,5.06,1416,Unknown,1931
6855,Da Nao Tiangong,Adventure,Movie,1,6.59,765,Shanghai Animation Film Studio,1964
6907,Mikan-Seijin,Comedy,TV,26,5.84,460,Unknown,1992
6935,Enkinhou no Hako: Hakase no Sagashimono,Slice of Life,Special,1,5.23,1090,Unknown,1990
6950,Aos,"Fantasy, Dementia",Movie,1,3.69,1998,Unknown,1964
6953,Ningen Doubutsuen,Dementia,Movie,1,2.77,3213,Unknown,1962
7020,Fashion,"Comedy, Dementia",Movie,1,4.41,672,Unknown,1960
7021,Ni-hiki no Sanma,Comedy,Movie,1,5.0,628,Unknown,1961
7022,G-senjou no Higeki,"Comedy, Dementia",Movie,1,3.61,1028,Unknown,1969
7024,Heya,"Comedy, Dementia",Movie,1,4.01,1397,Unknown,1967
7025,Kiseichuu no Ichiya,"Dementia, Horror",Movie,1,5.11,1993,Unknown,1972
7026,Mado,Comedy,Movie,1,4.8,802,Unknown,1965
7027,Manga,Comedy,Movie,1,4.67,897,Unknown,1977
7028,Pop,Comedy,Movie,1,3.79,1016,Unknown,1974
7029,Tonari no Yarou,Comedy,Movie,1,4.64,851,Unknown,1965
7030,Kemeko no Love,Comedy,Movie,1,4.43,1202,Unknown,1968
